acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
3,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,34.65,driving,OK,18
3,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,35.78333333,driving,OK,19
3,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,39.08333333,driving,OK,20
3,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,43.66666667,driving,OK,21
3,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,46.91666667,driving,OK,22
3,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,47.88333333,driving,OK,23
3,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,49.88333333,driving,OK,24
3,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,56,driving,OK,25
3,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,57.06666667,driving,OK,26
4,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,13.53333333,driving,OK,1
4,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,15.11666667,driving,OK,2
4,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,15.26666667,driving,OK,3
4,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,15.85,driving,OK,4
4,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,16.46666667,driving,OK,5
4,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,17.58333333,driving,OK,6
4,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,18.6,driving,OK,7
4,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,18.6,driving,OK,7
4,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,19.51666667,driving,OK,9
4,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,23.9,driving,OK,10
4,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,27.38333333,driving,OK,11
4,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,29.48333333,driving,OK,12
4,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,33.03333333,driving,OK,13
4,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,33.85,driving,OK,14
4,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,35.73333333,driving,OK,15
4,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,36.15,driving,OK,16
4,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,37.65,driving,OK,17
4,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,38.03333333,driving,OK,18
4,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,38.76666667,driving,OK,19
4,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,39.08333333,driving,OK,20
4,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,39.28333333,driving,OK,21
4,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,39.8,driving,OK,22
