acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
4,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,1769,driving,OK,12
4,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,1982,driving,OK,13
4,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2031,driving,OK,14
4,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2144,driving,OK,15
4,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,2169,driving,OK,16
4,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2259,driving,OK,17
4,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2282,driving,OK,18
4,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2326,driving,OK,19
4,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2345,driving,OK,20
4,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,2357,driving,OK,21
4,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2388,driving,OK,22
4,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,2545,driving,OK,23
4,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2561,driving,OK,24
4,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,2661,driving,OK,25
4,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3317,driving,OK,26
5,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,292,driving,OK,1
5,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,350,driving,OK,2
5,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,444,driving,OK,3
5,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,491,driving,OK,4
5,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,507,driving,OK,5
5,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,523,driving,OK,6
5,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,527,driving,OK,7
5,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,531,driving,OK,8
5,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,564,driving,OK,9
5,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,812,driving,OK,10
5,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,847,driving,OK,11
5,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,993,driving,OK,12
5,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,1168,driving,OK,13
5,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,1244,driving,OK,14
5,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,1468,driving,OK,15
5,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1594,driving,OK,16
5,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,1747,driving,OK,17
5,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,1838,driving,OK,18
5,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,1886,driving,OK,19
5,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2051,driving,OK,20
5,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2475,driving,OK,21
5,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2565,driving,OK,22
5,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2691,driving,OK,23
5,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2838,driving,OK,24
5,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3005,driving,OK,25
5,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3095,driving,OK,26
6,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,1046,driving,OK,1
6,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,1723,driving,OK,2
6,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,1743,driving,OK,3
6,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1945,driving,OK,4
6,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,1964,driving,OK,5
6,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,2030,driving,OK,6
6,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2038,driving,OK,7
6,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2069,driving,OK,8
6,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2118,driving,OK,9
6,,,6940+South+Merrill+Avenue+Chicago+IL+60649,O'Keeffe School of Excellence,2156,driving,OK,10
6,,,1000+West+52nd+Street+Chicago+IL+60609,The Sherman School of Excellence,2240,driving,OK,11
6,,,5515+S+Lowe+Ave+Chicago+IL+60621,John Hope College Prepatory High School,2269,driving,OK,12
6,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,2289,driving,OK,13
6,,,6311+South+Calumet+Chicago+IL+60637,Dulles School of Excellence,2320,driving,OK,14
6,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2322,driving,OK,15
6,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2354,driving,OK,16
6,,,7736+S+Burnham+Ave+Chicago+IL+60647,Myra Bradwell School of Excellence,2384,driving,OK,17
6,,,6006+S.+Peoria+St.+Chicago+IL+60621,Nicholson STEM Academy,2507,driving,OK,18
6,,,6010+South+Throop+Street+Chicago+IL+60636,Anna R. Langford Community Academy,2509,driving,OK,19
6,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2555,driving,OK,20
6,,,7240+S+Wabash+Ave+Chicago+IL+60619,Charles S Deneen School of Excellence,2577,driving,OK,21
6,,,5630+South+Rockwell+Street+Chicago+IL+60629,Gage Park High School,2759,driving,OK,22
6,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2818,driving,OK,23
6,,,7424+S+Morgan+St+Chicago+IL+60621,Amos Alonzo Stagg Elementary School of Excellence,2823,driving,OK,24
6,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,3126,driving,OK,25
6,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,3310,driving,OK,26
7,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,984,driving,OK,1
